"","Year","county","Dem","Rep","Total_Votes","Dem_Percent_Vote","Rep_Percent_Vote"
"1",2000,"ADAMS","11667","20804","33380",34.9520671060515,62.3247453565009
"2",2000,"ALLEGHENY","329565","234992","581661",56.6592912366481,40.400164356902
"3",2000,"ARMSTRONG","11127","15508","27423",40.5754293840936,56.5510702694818
"4",2000,"BEAVER","38925","32491","73648",52.8527590701716,44.1166087334347
"5",2000,"BEDFORD","5474","13598","19435",28.1656804733728,69.9665551839465
"6",2000,"BERKS","58614","71288","134765",43.4934886654547,52.898007642934
"7",2000,"BLAIR","15754","28289","45032",34.9840113696927,62.8197726061467
"8",2000,"BRADFORD","7911","14660","23352",33.877183967112,62.7783487495718
"9",2000,"BUCKS","132914","121927","263422",50.4566816742717,46.2858075635292
"10",2000,"BUTLER","25037","44009","70849",35.3385368883118,62.1166142076811
"11",2000,"CAMBRIA","30267","27930","60170",50.3024763171015,46.4184809705833
"12",2000,"CAMERON","779","1383","2246",34.6838824577026,61.5761353517364
"13",2000,"CARBON","10647","9692","21228",50.1554550593556,45.6566798567929
"14",2000,"CENTRE","21411","26172","49540",43.2196205086799,52.8300363342753
"15",2000,"CHESTER","82179","100495","188204",43.6648530318165,53.3968459756434
"16",2000,"CLARION","5605","9796","15849",35.3650072559783,61.8083159820809
"17",2000,"CLEARFIELD","11718","18013","30627",38.2603585071995,58.8141182616645
"18",2000,"CLINTON","5521","6064","11994",46.0313490078372,50.5586126396532
"19",2000,"COLUMBIA","8966","12081","21887",40.9649563667931,55.1971489925527
"20",2000,"CRAWFORD","13241","18809","33267",39.8022063907175,56.5395136321279
"21",2000,"CUMBERLAND","31053","54802","88144",35.2298511526593,62.1732619350154
"22",2000,"DAUPHIN","44258","53466","100350",44.1036372695566,53.2795216741405
"23",2000,"DELAWARE","134862","105836","248078",54.3627407508929,42.6623884423447
"24",2000,"ELK","5741","7322","13541",42.3971641680821,54.0728158924747
"25",2000,"ERIE","59306","48886","112086",52.9111575040594,43.6147244080438
"26",2000,"FAYETTE","28101","19954","49415",56.8673479712638,40.3804512799757
"27",2000,"FOREST","843","1371","2283",36.9250985545335,60.0525624178712
"28",2000,"FRANKLIN","14922","33042","49019",30.4412574715926,67.4065158407964
"29",2000,"FULTON","1421","3747","5275",26.9383886255924,71.0331753554502
"30",2000,"GREENE","7230","5890","13653",52.9553944188091,43.140701677287
"31",2000,"HUNTINGDON","5073","10408","15961",31.7837228243844,65.2089468078441
"32",2000,"INDIANA","13664","16792","31391",43.5283998598324,53.4930394061992
"33",2000,"JEFFERSON","5566","11473","17586",31.6501762765836,65.2393949732742
